function_name,duration,high_res_duration
GaussianBlur,48513,48543
computeDescriptors,1862549,1862579
GaussianBlur,41980,42010
computeDescriptors,1820038,1820078
GaussianBlur,41700,41720
computeDescriptors,1513372,1513412
computeDescriptors,1505718,1505748
Track,650691953,650692153
GrabImageStereo,699111302,699111392
ComputePyramid,596921,597031
ComputePyramid,888658,888769
DistributeOctTree,1614275,1614395
DistributeOctTree,1512721,1512751
DistributeOctTree,999380,999421
DistributeOctTree,1012685,1012716
DistributeOctTree,713694,713734
DistributeOctTree,736127,736158
DistributeOctTree,570641,570751
DistributeOctTree,543469,543509
DistributeOctTree,370398,370438
DistributeOctTree,410204,410234
DistributeOctTree,269745,269786
DistributeOctTree,268944,268974
DistributeOctTree,200323,200353
DistributeOctTree,153263,153303
DistributeOctTree,200904,200934
DistributeOctTree,156169,156208
computeOrientation,600397,600437
computeOrientation,541144,541174
computeOrientation,506358,506397
computeOrientation,445822,445842
computeOrientation,422778,422798
computeOrientation,370117,370148
computeOrientation,349488,349508
computeOrientation,312878,312888
computeOrientation,282630,282650
computeOrientation,255718,255748
computeOrientation,233777,233787
computeOrientation,211645,211655
computeOrientation,186135,186155
computeOrientation,176667,176677
computeOrientation,154665,154675
ComputeKeyPointsOctTree,13913258,13913288
computeOrientation,147081,147101
ComputeKeyPointsOctTree,13650987,13651007
GaussianBlur,140849,140889
GaussianBlur,133565,133606
computeDescriptors,5529026,5529096
computeDescriptors,5581166,5581216
GaussianBlur,90112,90152
GaussianBlur,86665,86695
computeDescriptors,4605792,4605863
GaussianBlur,76536,76587
computeDescriptors,4646269,4646309
GaussianBlur,72599,72619
computeDescriptors,3854796,3854877
GaussianBlur,72779,72809
computeDescriptors,3830310,3830340
GaussianBlur,62008,62038
computeDescriptors,3208210,3208240
GaussianBlur,54064,54114
computeDescriptors,3208261,3208301
GaussianBlur,62119,62139
computeDescriptors,2653682,2653752
GaussianBlur,59494,59534
computeDescriptors,2647450,2647490
GaussianBlur,52059,52109
computeDescriptors,2231204,2231234
GaussianBlur,47921,47962
computeDescriptors,2180297,2180337
GaussianBlur,42731,42741
computeDescriptors,1819547,1819587
GaussianBlur,43273,43313
computeDescriptors,1828554,1828594
GaussianBlur,39816,39857
computeDescriptors,1528792,1528832
computeDescriptors,1518321,1518352
Track,455945252,455945522
GrabImageStereo,504405650,504405690
ComputePyramid,671203,671303
ComputePyramid,914027,914127
DistributeOctTree,1522399,1522430
DistributeOctTree,1556925,1557045
DistributeOctTree,1014028,1014068
DistributeOctTree,1026642,1026682
DistributeOctTree,741938,741968
DistributeOctTree,753530,753570
DistributeOctTree,531165,531205
DistributeOctTree,531114,531175
DistributeOctTree,374235,374275
DistributeOctTree,368765,368805
DistributeOctTree,271389,271429
DistributeOctTree,266710,266750
DistributeOctTree,207888,207928
DistributeOctTree,161608,161649
DistributeOctTree,207307,207337
DistributeOctTree,156349,156419
computeOrientation,559850,559880
computeOrientation,449600,449620
computeOrientation,627569,627599
computeOrientation,394083,394123
computeOrientation,536224,536264
computeOrientation,313910,313930
computeOrientation,257953,257973
computeOrientation,423600,423620
computeOrientation,218377,218397
computeOrientation,331684,331704
computeOrientation,183551,183571
computeOrientation,149566,149576
ComputeKeyPointsOctTree,13691404,13691434
computeOrientation,266500,266510
GaussianBlur,129538,129568
computeOrientation,261520,261560
computeOrientation,188190,188220
computeOrientation,159144,159174
