function_name,duration,high_res_duration
ComputeKeyPointsOctTree,13340241,13340261
GaussianBlur,151364,151434
GaussianBlur,155933,156023
computeDescriptors,5554215,5554255
computeDescriptors,5586085,5586125
GaussianBlur,89728,89788
GaussianBlur,79390,79460
computeDescriptors,4606094,4606124
computeDescriptors,4580365,4580396
GaussianBlur,78427,78507
GaussianBlur,79379,79439
computeDescriptors,3826698,3826718
GaussianBlur,61946,61996
computeDescriptors,3820246,3820266
GaussianBlur,55655,55715
computeDescriptors,3175316,3175336
GaussianBlur,54403,54462
computeDescriptors,3182800,3182850
GaussianBlur,52880,52950
computeDescriptors,2615575,2615595
GaussianBlur,126958,126988
computeDescriptors,2619492,2619502
GaussianBlur,125456,125486
computeDescriptors,2184433,2184453
GaussianBlur,47138,47168
computeDescriptors,2181397,2181418
GaussianBlur,43291,43332
computeDescriptors,1801884,1801904
GaussianBlur,45566,45616
computeDescriptors,1803217,1803237
GaussianBlur,46337,46377
computeDescriptors,1519986,1520016
computeDescriptors,1515747,1515767
Track,470465218,470465409
GrabImageStereo,518869425,518869445
ComputePyramid,670510,670620
ComputePyramid,920570,920679
DistributeOctTree,1442109,1442129
DistributeOctTree,1490691,1490751
DistributeOctTree,998036,998066
DistributeOctTree,1025006,1025095
DistributeOctTree,712459,712478
DistributeOctTree,716616,716626
DistributeOctTree,512312,512342
DistributeOctTree,529285,529325
DistributeOctTree,400843,400863
DistributeOctTree,396756,396825
DistributeOctTree,263796,263816
DistributeOctTree,265639,265709
DistributeOctTree,196619,196649
DistributeOctTree,196780,196800
DistributeOctTree,150213,150233
DistributeOctTree,149300,149320
computeOrientation,497716,497806
computeOrientation,329569,329649
computeOrientation,298019,298100
computeOrientation,337845,337965
computeOrientation,290005,290065
computeOrientation,280938,280988
computeOrientation,275828,275908
computeOrientation,275277,275367
computeOrientation,272011,272091
computeOrientation,266070,266160
computeOrientation,264527,264607
computeOrientation,306246,306336
computeOrientation,276139,276209
computeOrientation,274656,274746
computeOrientation,264747,264817
ComputeKeyPointsOctTree,12930834,12930854
computeOrientation,202751,202821
ComputeKeyPointsOctTree,13222582,13222592
GaussianBlur,149521,149581
GaussianBlur,340249,340309
computeDescriptors,5487249,5487280
computeDescriptors,5339772,5339833
GaussianBlur,80982,81042
GaussianBlur,77916,77976
computeDescriptors,4532153,4532173
GaussianBlur,80151,80221
computeDescriptors,4535380,4535410
GaussianBlur,153639,153679
computeDescriptors,3792205,3792235
GaussianBlur,61004,61035
computeDescriptors,3816911,3816931
GaussianBlur,66666,66735
computeDescriptors,3149677,3149698
GaussianBlur,59492,59522
computeDescriptors,3142163,3142193
GaussianBlur,52819,52879
computeDescriptors,2590165,2590185
GaussianBlur,56807,56837
computeDescriptors,2615283,2615303
GaussianBlur,53901,53962
computeDescriptors,2160739,2160759
GaussianBlur,43672,43702
computeDescriptors,2162683,2162703
GaussianBlur,48241,48271
computeDescriptors,1817484,1817514
GaussianBlur,43872,43932
computeDescriptors,1811644,1811664
GaussianBlur,39845,39875
computeDescriptors,1494117,1494148
computeDescriptors,1496752,1496782
Track,762651625,762651896
GrabImageStereo,811036565,811036656
ComputePyramid,677663,677723
ComputePyramid,828186,828286
DistributeOctTree,1465263,1465323
DistributeOctTree,2165348,2165359
DistributeOctTree,1003586,1003605
DistributeOctTree,1000660,1000680
DistributeOctTree,767702,767803
DistributeOctTree,540967,540987
DistributeOctTree,711738,711798
DistributeOctTree,409950,409990
DistributeOctTree,533382,533402
DistributeOctTree,267513,267533
DistributeOctTree,197721,197751
DistributeOctTree,362982,363002
DistributeOctTree,151214,151244
DistributeOctTree,295235,295325
computeOrientation,502554,502644
computeOrientation,376607,376667
DistributeOctTree,225173,225213
computeOrientation,252214,252294
DistributeOctTree,175670,175711
computeOrientation,294504,294574
computeOrientation,455375,455485
computeOrientation,354986,355087
computeOrientation,408367,408467
computeOrientation,367330,367401
computeOrientation,409149,409249
computeOrientation,385575,385665
computeOrientation,321163,321244
computeOrientation,415942,416022
ComputeKeyPointsOctTree,13940949,13940969
computeOrientation,286869,286979
GaussianBlur,134393,134463
computeOrientation,220314,220394
computeOrientation,196670,196740
computeOrientation,203442,203512
ComputeKeyPointsOctTree,14572095,14572115
GaussianBlur,136146,136206
computeDescriptors,5487460,5487570
GaussianBlur,86974,87054
computeDescriptors,5497860,5497900
GaussianBlur,78026,78076
computeDescriptors,4539699,4539729
GaussianBlur,76233,76313
computeDescriptors,4565006,4565036
GaussianBlur,81252,81312
computeDescriptors,3776855,3776926
GaussianBlur,60303,60393
computeDescriptors,3778048,3778068
GaussianBlur,58159,58229
computeDescriptors,3111696,3111716
GaussianBlur,54622,54692
computeDescriptors,3133627,3133647
GaussianBlur,56766,56836
computeDescriptors,2592470,2592570
GaussianBlur,52889,52959
computeDescriptors,2579686,2579706
GaussianBlur,127319,127369
computeDescriptors,2154918,2155048
GaussianBlur,50335,50405
computeDescriptors,2146202,2146222
GaussianBlur,45806,45866
computeDescriptors,1787719,1787739
GaussianBlur,43452,43492
